split_random_state,train_rows,test_rows,stable_train_rows,unstable_train_rows,stable_test_rows,unstable_test_rows,accuracy,stable_precision,stable_recall,stable_f1,true_unstable_predicted_unstable,true_unstable_predicted_stable,true_stable_predicted_unstable,true_stable_predicted_stable
11,800,200,400,400,100,100,0.89,0.8421,0.96,0.8972,82,18,4,96
22,800,200,400,400,100,100,0.845,0.8053,0.91,0.8545,78,22,9,91
33,800,200,400,400,100,100,0.865,0.8687,0.86,0.8643,87,13,14,86
44,800,200,400,400,100,100,0.87,0.8558,0.89,0.8725,85,15,11,89
55,800,200,400,400,100,100,0.87,0.8854,0.85,0.8673,89,11,15,85
66,800,200,400,400,100,100,0.87,0.8426,0.91,0.875,83,17,9,91
77,800,200,400,400,100,100,0.84,0.8269,0.86,0.8431,82,18,14,86
88,800,200,400,400,100,100,0.835,0.8073,0.88,0.8421,79,21,12,88
99,800,200,400,400,100,100,0.815,0.8119,0.82,0.8159,81,19,18,82
111,800,200,400,400,100,100,0.85,0.8431,0.86,0.8515,84,16,14,86
