model,split_random_state,test_rows,accuracy,stable_precision,stable_recall,stable_f1,true_unstable_predicted_unstable,true_unstable_predicted_stable,true_stable_predicted_unstable,true_stable_predicted_stable
Logistic Regression,11,200,0.865,0.8067,0.96,0.8767,77,23,4,96
QML kernel classifier,11,200,0.89,0.8421,0.96,0.8972,82,18,4,96
Logistic Regression,22,200,0.825,0.7778,0.91,0.8387,74,26,9,91
QML kernel classifier,22,200,0.845,0.8053,0.91,0.8545,78,22,9,91
Logistic Regression,33,200,0.86,0.8396,0.89,0.8641,83,17,11,89
QML kernel classifier,33,200,0.865,0.8687,0.86,0.8643,87,13,14,86
Logistic Regression,44,200,0.86,0.8333,0.9,0.8654,82,18,10,90
QML kernel classifier,44,200,0.87,0.8558,0.89,0.8725,85,15,11,89
Logistic Regression,55,200,0.83,0.8173,0.85,0.8333,81,19,15,85
QML kernel classifier,55,200,0.87,0.8854,0.85,0.8673,89,11,15,85
Logistic Regression,66,200,0.86,0.8273,0.91,0.8667,81,19,9,91
QML kernel classifier,66,200,0.87,0.8426,0.91,0.875,83,17,9,91
Logistic Regression,77,200,0.81,0.8039,0.82,0.8119,80,20,18,82
QML kernel classifier,77,200,0.84,0.8269,0.86,0.8431,82,18,14,86
Logistic Regression,88,200,0.835,0.8018,0.89,0.8436,78,22,11,89
QML kernel classifier,88,200,0.835,0.8073,0.88,0.8421,79,21,12,88
Logistic Regression,99,200,0.825,0.8095,0.85,0.8293,80,20,15,85
QML kernel classifier,99,200,0.815,0.8119,0.82,0.8159,81,19,18,82
Logistic Regression,111,200,0.84,0.8269,0.86,0.8431,82,18,14,86
QML kernel classifier,111,200,0.85,0.8431,0.86,0.8515,84,16,14,86
